instituicao;id_municipio;valor_total;valor_gasto_hospital;perc
Prefeitura Municipal de Arandu - SP;3503109;33741104,60;3953911,13;1,17183808202889e+01
Prefeitura Municipal de Arantina - MG;3103603;15245485,04;315204,68;2,06752805288247e+00
Prefeitura Municipal de Arapeí - SP;3503158;16897514,71;37307,92;2,20789392051371e-01
Prefeitura Municipal de Arapiraca - AL;2700300;670002174,30;177294749,62;2,64618170538376e+01
Prefeitura Municipal de Arapoema - TO;1702307;22194975,80;NA;NA
Prefeitura Municipal de Araponga - MG;3103702;25397638,36;4353512,65;1,71414073556404e+01
Prefeitura Municipal de Arapongas - PR;4101507;376674519,27;7174379,23;1,90466274275840e+00
Prefeitura Municipal de Araporã - MG;3103751;75280028,98;8592429,89;1,14139566714072e+01
Prefeitura Municipal de Arapoti - PR;4101606;96481676,25;10531468,90;1,09155119493480e+01
Prefeitura Municipal de Araputanga - MT;5101258;58289023,06;7161397,16;1,22860133590306e+01
Prefeitura Municipal de Arapuá - MG;3103801;16103008,90;182304,18;1,13211252090906e+00
Prefeitura Municipal de Arapuã - PR;4101655;18855617,18;1247758,33;6,61743563251532e+00
Prefeitura Municipal de Araquari - SC;4201307;179637606,37;10216073,87;5,68704631309656e+00
Prefeitura Municipal de Arara - PB;2500908;37072444,08;1420611,66;3,83198813904584e+00
Prefeitura Municipal de Araranguá - SC;4201406;153067955,99;NA;NA
Prefeitura Municipal de Araraquara - SP;3503208;965362568,58;239250774,03;2,47835146935442e+01
